orthosyll,syll,ortho_before,ortho_after,nb_usage
tails,taj,por,"",1
tren,tRE,é,na,1
mâ,ma,"",chouil,6
voient,vwa,vou,"",1
vier,vje,con,"",1
fo,fo,suf,quait,1
bau,bo,em,chais,1
ma,ma,ar,teur,1
to,to,rec,"",2
dé,de,"",sar,49
bé,be,li,rai,1
rom,R§,ter,pons,1
téi,te,pro,ne,1
cou,ku,re,pe,4
dé,de,"",vots,2
per,pER,re,due,1
quât,ka,vo,"",4
quons,k§,fo,"",1
cals,kal,"","",1
pu,py,po,lo,1
té,te,at,nuent,1
dit,di,lai,"",1
fi,fi,pro,tais,1
flée,fle,ra,"",2
ca,ka,rau,rias,1
let,lE,cu,"",1
cab,kab,"","",1
lot,lo,ca,tées,1
sais,sE,haus,"",1
tée,te,sot,"",2
quaient,kE,cla,"",1
lo,lo,dé,gé,1
fir,fiR,con,ma,3
for,fOR,"",gés,1
fu,fy,"",mât,1
jou,Zu,"",teurs,1
men,m@,cra,tel,1
lé,le,é,ment,1
çât,sa,pu,"",1
teur,t9R,prac,"",1
sons,z§,bri,"",1
con,k§,"",gas,1
je,ma,d,mââ,1
neaux,no,me,"",1
ten,t@,é,dît,1
yan,j@,"",quis,1
ton,to,bé,naient,1
sins,s5,sas,"",2
cé,se,ul,rant,1
car,kaR,é,tai,1
seye,sEj,gras,ment,1
lon,l§,"",do,2
mât,ma,cal,"",1
men,m@,fer,tée,2
mar,ma,"",ré,1
pres,pREs,"",crits,1
don,do,re,nait,1
lan,l@,me,"",1
rait,RE,ni,"",10
vaient,vE,gra,"",2
mé,me,tu,"",5
net,nE,ton,"",2
geait,ZE,fi,"",2
dés,de,"",uni,1
sa,za,vi,geât,1
me,dRom,dro,"",1
tir,stiR,ex,paient,1
na,na,or,"",1
breur,bR9R,la,"",1
geur,Z9R,louan,"",2
don,do,sor,née,3
po,po,"",lies,2
join,Zw5,ad,dra,1
sées,se,sen,"",3
pré,pRe,"",teur,1
rê,RE,"",veu,1
re,nER,nai,"",6
clai,klE,é,rait,1
poin,pw5,é,tés,1
vio,vjo,"",let,2
pher,fe,stro,"",2
chauf,So,"",fais,1
lées,le,gou,"",2
ca,ka,mas,ron,1
teux,t2,ven,"",1
rait,RE,ter,"",4
bre,bR°,sa,rons,1
blo,blo,trem,té,1
em,@,"",plies,1
trons,tR§,lec,"",1
te,t°,lot,ra,1
teur,t9R,men,"",5
bé,be,"",gaient,1
mou,mu,ma,chi,1
yo,jo,"",ga,1
tée,te,pen,"",3
sif,sif,jouis,"",1
va,va,a,la,1
cha,Sa,"",brot,1
fraient,fRE,cof,"",1
mal,ma,"",adres,2
a,a,"",nui,2
tées,te,clou,"",2
tait,tE,ploi,"",1
cé,se,ma,raient,1
ré,Re,bo,"",4
pi,pi,la,dant,1
blient,bli,pu,"",1
blaie,blE,rem,ment,1
brouil,bRu,em,lées,2
ton,to,car,nés,1
phie,fi,gra,ront,1
li,li,po,ciers,2
na,na,a,nas,1
da,da,pré,teur,3
en,@,"",quer,1
cy,si,"",nos,1
treur,tR9R,gis,"",2
lait,lE,pau,"",1
bacs,bak,mor,"",1
guer,ge,brin,"",1
dra,dRa,hy,vion,1
nants,n@,qui,"",1
bai,bE,"","",1
fé,fe,gref,"",3
poé,po,"",ti,5
tez,te,ma,"",3
nant,n@,pre,"",13
tri,tRi,dis,bués,3
flan,fl@,"",quons,1
so,so,tous,tant,1
çaient,sE,ma,"",1
tain,t5,mon,"",1
coïn,ko,"",ci,5
ga,ga,ro,tion,3
gis,a,péa,te,1
men,m@,gle,tés,1
dé,dE,"",gue,2
roï,Ro,zar,de,1
te,t°,poin,rez,1
se,s°,bos,lées,2
sen,s@,dé,si,2
flot,flo,"",tant,3
pia,pja,co,"",2
ra,Ra,ti,dia,1
tau,to,jus,corps,1
trai,tRe,re,tée,3
fie,fi,ri,ras,1
brait,bRE,zé,"",1
dée,de,fa,"",1
quiez,kje,plan,"",1
ri,Ri,o,gi,11
go,go,ma,"",2
chi,Si,fran,ser,1
lies,li,coo,"",1
laxons,s§,k,"",1
bleurs,bl9R,sem,"",1
jo,Zo,ca,lée,1
pre,pR°,re,nant,1
phiée,fje,gra,"",6
in,5,"",tui,5
lam,l@,"",pion,1
gé,Ze,"",rer,1
leurs,j9R,seil,"",1
ti,ti,par,tions,2
pla,pla,a,ties,2
no,no,a,bli,2
mait,mE,mi,"",1
gli,gli,an,ci,2
va,va,a,lant,2
niaux,njo,ma,"",1
pan,pa,"",amé,1
nait,nE,gon,"",2
mer,mER,a,los,1
rant,R@,beur,"",1
dé,de,"",peins,1
pui,p8i,é,sât,1
cra,kRa,"",cho,11
tof,to,é,faient,1
gon,g§,gor,zo,1
ti,ti,par,rait,2
pé,pe,"",pées,1
ra,Ra,"",tion,13
con,k§,"",chiaient,1
nais,nE,pi,"",3
cu,ky,dis,tons,1
ter,te,lai,"",1
miau,mjo,"",le,2
to,to,ro,plots,1
rô,Ro,"",daient,1
quar,ka,é,ries,2
di,di,ra,ne,1
rail,Ra,ti,lait,1
tua,t8a,pé,tion,1
fient,fi,tri,"",2
voie,vwa,"","",2
li,li,é,mées,2
vi,vi,"",ral,1
sau,so,"",te,12
pée,pe,tir,"",1
leurs,j9R,gouail,"",1
le,l°,vo,tait,1
fiée,fje,tré,"",1
fon,f§,"",da,10
gers,ZER,na,"",1
dait,dE,cou,"",1
vet,vE,du,"",1
sât,za,pou,"",1
trer,tRe,nis,"",1
liers,lje,sou,"",1
dins,d5,la,"",2
rée,Re,bar,"",3
frein,fR5,chan,"",1
rait,RE,si,"",4
sos,zo,dé,sée,1
nait,nE,mon,"",2
ram,R@,"",pée,1
som,so,"",mée,1
ef,e,"",fort,1
tria,tRi,"",de,1
tan,t@,"",gos,1
sée,ze,toi,"",1
cro,kRo,mi,cli,1
che,S°,bron,ra,1
mée,me,fir,"",4
lus,ly,ber,"",1
li,li,o,vier,1
do,do,ra,tait,1
rez,Re,vre,"",4
tron,tR§,"",quée,2
cié,sje,cen,"",3
re,R°,zar,ries,1
dos,do,en,sai,1
quen,ke,quin,nal,1
re,R°,tau,rions,1
co,ko,li,sé,1
zyeu,zj2,"",tait,1
lits,li,"","",1
sons,s§,"","",1
cu,ky,oc,per,3
pots,po,tri,"",1
bi,bi,ra,li,7
tans,t@,pi,"",1
pi,pi,ci,ta,3
bi,bi,com,nat,1
gne,N°,li,ront,1
mé,me,ac,"",1
quait,kE,bli,"",1
lots,lo,per,"",1
re,R°,"",ten,16
co,ko,"",piant,1
le,l°,pré,vé,1
bril,bRi,"",lât,1
géo,Ze,"",lo,4
éga,ga,n,lé,2
ciel,sjE,fi,le,3
dui,d8i,ré,ra,1
te,t°,jec,rais,1
blot,blo,"",tis,7
pe,p°,"",non,1
gra,gRa,"",ciée,1
tom,t§,re,be,9
siè,zjE,troi,me,1
gar,ga,ba,ré,1
te,t°,caf,ras,1
ma,ma,hu,noï,4
re,R°,"",veux,1
dui,d8i,sé,sants,1
tif,tif,ac,"",8
mit,mi,fer,"",2
sis,zi,choi,sez,1
ma,ma,dom,gées,2
pê,pE,dé,chais,1
ga,ga,ré,lais,1
fi,fi,pro,tons,1
souil,su,"",lé,1
pro,pRo,re,cha,1
rait,RE,noue,"",2
ble,bl°,ca,raient,1
ne,n°,cien,ment,1
ra,Ra,a,néeu,1
fi,fi,"",liaux,1
par,paR,"",vient,1
ro,Ro,per,quets,1
pouls,pu,"","",1
çons,s§,ban,"",1
brée,bRe,com,"",3
gré,gRe,a,men,11
li,e,phaé,te,1
sou,su,"",riez,1
pon,po,tam,nait,1
trus,tRys,"",quin,1
cuel,k8E,é,lées,1
don,do,or,né,4
sions,sj§,rais,"",3
poin,pw5,"",çon,9
ci,si,la,té,1
bu,by,o,sier,1
croa,kRo,"",tes,2
tais,tE,jec,"",1
chez,Se,cor,"",1
bo,bo,"",quil,1
pa,pa,ra,tait,1
plan,pl@,im,tais,1
çait,sE,rou,"",1
diers,dje,var,"",1
an,@,"",glais,3
quets,kE,lu,"",1
vés,ve,gre,"",1
li,li,"",gner,1
lé,le,o,"",1
pei,pe,"",gné,3
niens,nj5,rhi,"",1
dée,de,mo,"",6
dir,diR,ron,"",1
naient,nE,laxon,"",1
lais,jE,gouil,"",2
dui,d8i,sé,rait,1
ne,n°,cli,ront,1
pie,pi,char,"",1
num,nOm,dé,"",1
re,R°,fu,tez,1
po,po,dis,sait,3
tai,tE,gi,"",1
fi,fi,fau,lé,1
ton,t§,ma,"",2
pe,p°,nap,ron,1
axe,aks,"","",2
ra,Ra,"",gea,1
dats,da,miz,"",1
meur,m9R,"",tries,2
tri,tRi,doc,ner,1
cro,kRo,"",quaient,1
lée,le,se,"",8
vront,vR§,sui,"",3
brai,bRe,"",sé,2
cen,s@,des,dis,2
cu,ky,tro,té,1
dé,de,"",fie,7
clées,kle,mus,"",2
men,m@,ca,tait,1
té,ste,obs,tri,2
fil,fil,"","",1
soi,swa,"",gnant,3
brouil,bRu,em,leur,1
re,R°,"",voie,1
scient,sj@,ni,"",1
cor,kOR,rac,dé,1
sant,s@,lis,"",24
drin,dR5,ca,"",1
grou,gRu,re,pés,1
mi,mi,re,sons,1
sa,za,u,gers,1
deurs,d9R,man,"",3
men,m@,ra,dé,1
lé,le,dé,guaient,1
point,pw5,bon,"",1
tar,taR,cos,"",1
grats,gRa,in,"",2
duée,d8e,gra,"",2
sié,zje,sa,"",2
gra,gRa,ag,va,2
qué,ke,pli,"",9
dues,dy,ten,"",15
bouil,bu,gri,lant,1
dos,do,a,sés,2
pic,pik,as,"",1
til,ti,bot,lon,1
vé,ve,"",reux,1
tueur,t89R,"","",1
cez,se,min,"",1
tion,sj§,via,"",3
fe,f°,ca,tan,1
tît,ti,pâ,"",1
yang,j@g,"","",1
pi,pi,clo,nant,1
sen,s@,pres,tions,1
tor,tOR,ci,"",1
tro,tRo,es,piait,1
le,l°,so,ront,3
tei,tE,at,gnais,1
lons,l§,col,"",2
deaux,do,ca,"",1
to,to,bos,nien,2
zé,ze,ec,mas,1
bru,bRy,em,mée,2
saie,sE,es,rions,1
te,t°,ler,rez,1
fleu,fl9,"",ries,2
mo,mop,hé,pty,2
pi,pi,sus,cieux,1
ten,t@,"",dre,2
u,y,"",bac,1
naient,nE,mon,"",2
ni,ni,cli,que,1
gné,Ne,loi,"",2
ri,Ri,"",fain,1
le,j°,pil,rez,1
te,Zut,ajou,"",1
nant,n@,ci,"",12
sil,zi,bra,lant,1
sions,sj§,faus,"",1
cou,ku,"",drait,1
to,to,"",pos,1
gnar,NaR,ca,dai,1
po,po,"",saient,1
plan,pl@,im,tez,1
sât,sa,pres,"",1
re,R°,pé,rons,3
gué,ge,va,"",2
gnons,N§,sei,"",1
glan,gl@,san,ta,1
ban,b@,"",toue,1
va,va,ti,teur,2
on,§,"",glets,1
ve,v°,"",nons,1
nis,ni,bé,"",1
ci,si,dé,dions,1
son,so,fris,nez,1
rit,Ri,gué,"",1
plan,pl@,im,tons,1
tion,sjo,si,nés,1
vions,vj§,vi,"",3
se,se,as,nés,1
tin,t5,dis,guées,2
sants,s@,ris,"",5
bais,bE,bom,"",1
lects,lEkt,se,"",1
ta,ta,nas,"",1
join,Zw5,re,drons,1
crée,kRe,"",rais,1
trées,tRe,mé,"",1
tions,sj§,dic,"",6
or,OR,"",pail,2
plai,plE,com,siez,1
qui,ki,es,ver,1
zo,zo,paz,"",1
ga,ga,ré,ler,1
liers,lje,co,"",1
con,ko,mé,nue,2
mais,mE,bli,"",1
chien,Sj5,"",chiens,1
obs,Op,"",curs,1
car,kaR,bran,dier,1
ment,m@,li,"",4
cha,Sa,"",pés,1
pon,po,cram,nées,1
la,la,ba,de,5
soi,zwa,ri,re,1
lè,lE,al,ge,1
gril,gRi,"",lots,1
la,ja,reil,"",1
dé,de,"",mor,9
dan,d@,"",se,11
suf,sy,in,flait,1
voue,vu,dé,ments,1
coif,kwa,"",fe,5
zi,zi,raz,"",1
so,zo,pro,po,1
lia,lja,ci,"",1
bas,bas,"",kets,1
nail,na,pe,lé,2
tés,te,goû,"",4
mas,mas,"",que,1
mo,mo,pro,tions,1
dît,di,ren,"",1
con,k§,ra,tât,1
nau,no,gue,dant,1
vien,vj5,re,dra,1
dan,d@,"",sée,1
qué,ke,pla,"",3
die,di,mé,ra,1
çants,s@,per,"",1
fri,fRi,"",pée,2
ro,Ro,"",se,2
rons,R§,fa,"",2
show,So,"","",1
po,po,tri,taient,1
vroom,vRum,"","",1
triait,jE,s,"",1
touf,tu,é,fiez,1
le,l°,"",vât,1
pru,pRy,"",de,2
dic,dik,"",tai,1
court,kuR,se,"",1
sin,s5,"",geaient,1
saient,zE,clu,"",1
le,l°,pu,rait,1
pa,pa,ré,rez,1
der,de,gnar,"",2
ryl,Ri,ma,lis,1
clen,kl@,dé,cha,1
sants,z@,fu,"",2
con,k§,"",vient,2
fre,fR°,gouf,ment,1
ro,Ro,mé,tés,2
pés,pe,tra,"",2
exo,Eg,"",des,1
spa,pa,po,dias,1
diers,dje,bar,"",2
gu,gy,au,rais,1
lo,lo,"",va,1
mu,my,"",ni,11
abs,ap,"",tint,1
gnaient,NE,plai,"",1
card,kaR,bri,"",1
ré,Re,"",cent,1
riens,Rj5,gé,"",3
de,d°,la,ra,2
hé,e,bo,miens,2
nom,no,in,més,1
ti,ti,pa,nez,1
tiel,sjE,sen,le,1
rée,Re,pleu,"",1
lais,lE,mê,"",2
ping,piG,cam,"",1
tu,ty,ven,ra,1
ti,ti,fes,val,1
man,m@,dol,"",1
traient,tRE,ren,"",1
no,no,ré,va,5
ton,t§,san,"",1
mi,mi,ta,"",1
seur,z9R,creu,"",1
si,si,des,né,3
par,paR,"",me,3
phiées,fje,gra,"",7
ta,ta,"",fa,1
si,zi,ré,gnât,1
quait,kE,man,"",1
lial,ljal,fi,"",1
zag,zag,zig,"",1
gi,Zi,ré,men,3
lé,le,tal,"",3
vu,vy,ner,rée,1
laient,lE,me,"",1
ta,ta,ren,bi,4
pa,pa,ci,tion,3
ruis,R8i,"",sel,3
teint,t5,"","",3
fiant,fj@,con,"",2
lais,lE,pel,"",1
ras,Ra,ter,sant,1
lon,jo,guil,né,1
tin,t5,"",ta,1
chauf,So,é,fait,1
car,kaR,"",di,6
nant,n@,lié,"",2
frac,fRak,an,tuo,2
comp,k§,"",toirs,1
vi,vi,con,via,2
gal,gal,dri,"",1
ga,ga,ar,niers,1
fei,fE,"",gnant,3
li,li,sou,gniez,1
tés,te,ten,"",8
chées,Se,cra,"",1
gno,No,si,ra,1
lais,lE,brû,"",1
cions,sj§,la,"",1
pol,po,im,luée,1
bret,bRE,"",teur,1
lou,lu,cha,pait,1
be,b°,hi,ra,1
cher,Se,lan,"",1
tain,t5,ri,"",4
na,na,dy,mo,1
luxem,lyk,"",bour,1
fit,fi,dé,"",1
mé,me,re,diez,1
laient,lE,fa,"",1
se,s°,lis,ments,4
tu,ty,en,bez,1
ver,vER,ré,sion,1
ros,Ro,"",sée,2
né,ne,qui,"",5
vait,vE,ti,"",6
ti,ti,bap,sez,1
fraient,fRE,bâ,"",1
glants,gl@,cin,"",1
bou,bu,"",chers,1
chi,Si,dé,reur,1
la,la,fre,tées,1
sants,z@,pri,"",1
géo,Ze,"",po,2
rai,RE,fie,"",12
tions,tj§,si,"",2
le,l°,duel,ment,2
ry,Ri,jer,cans,1
fru,fRy,"",gaux,1
po,po,"",sait,1
nom,no,pré,mant,1
no,no,ti,pa,1
bots,bo,ra,"",1
suif,s8i,"",fé,1
tal,tal,"",qua,1
sée,se,nis,"",2
guant,g@,bla,"",1
con,k§,"",ju,34
du,dy,ci,lé,2
con,l@,à l'en,tre,1
fâ,fa,"",chiez,1
kan,k@,"",tien,1
caux,ko,mi,"",1
sies,zi,tai,"",1
bra,bRa,"",sil,5
vé,ve,vi,"",3
ca,ka,"",puc,1
dou,du,"",blon,2
ve,v°,bra,rait,1
ras,Ra,bar,sée,3
dua,d8a,gra,tions,1
ter,tER,in,cos,2
rien,Rj@,o,te,3
ras,Ra,puie,"",1
paon,p@,"","",1
mail,ma,"",let,1
ti,ti,rec,fia,1
re,R°,cla,rait,1
re,R°,"",son,2
fiant,fj@,cri,"",1
fen,f@,dé,driez,1
ta,ta,"",bloïd,1
tan,t@,ins,ta,7
con,k§,cir,vo,2
ting,tiG,lif,"",1
pes,pe,"",sah,1
taux,to,vi,"",1
ci,si,"",tiez,1
nez,ne,gre,"",1
dant,d@,man,"",9
lant,l@,so,"",8
ten,t@,in,dants,2
noir,nwaR,"",ceurs,1
ni,ni,bé,rai,1
cons,k§,in,cient,2
ta,ta,pas,gas,1
lât,la,so,"",2
rais,RE,bou,"",1
fou,fu,"",lions,1
ver,vER,le,sions,1
gal,gal,"",bés,2
lo,lo,mé,pées,1
tras,tRa,met,"",8
tie,si,phé,"",1
ma,ma,re,nier,1
true,stRy,obs,raient,1
dait,dE,la,"",3
vor,vOR,a,tez,1
de,d°,re,vînt,1
rom,R§,ter,piez,1
so,so,dis,lue,1
tho,to,or,pho,1
na,na,gnon,"",1
me,m°,pro,nant,1
at,a,"",tein,9
tom,t§,es,paient,1
da,da,pé,lais,1
ti,ti,re,rait,1
que,ak,dria,"",2
si,zi,lo,té,6
tion,sjo,ac,nai,1
bro,bRo,fi,ci,1
niait,njE,re,"",1
ble,bl°,meu,ments,1
sons,z§,pri,"",3
ser,sE,en,ra,1
rem,Ra,pa,ment,1
le,l°,chia,ras,1
gi,Zi,co,ta,2
no,a,céa,gra,3
fa,fa,"",bu,8
ten,t@,per,sions,1
li,li,ca,sait,2
for,fOR,"",miez,1
milk sha,mil,"",ke,1
dé,de,"",fauts,1
ri,Ri,ma,got,1
co,ko,"",gnez,1
pré,pRe,"",oc,28
si,zi,dé,rez,1
ca,ka,"",ner,1
ge,Z°,sié,rait,1
per,pER,su,flue,1
lé,le,to,rait,1
don,do,"",nât,1
breu,bR9,a,vaient,1
té,te,vro,"",1
pais,pE,pi,"",1
flez,fle,mou,"",1
lies,li,pou,"",1
ins,5s,"",trui,11
flé,fle,"",cher,1
tra,tRa,en,vez,1
ban,b@,"",que,3
sé,ze,ci,ment,1
po,po,chi,tez,1
ta,ta,ré,blies,1
fui,f8i,"",ras,1
bis,bi,"",sel,1
brie,bRi,"",fing,1
re,R°,fu,tant,1
chis,Si,blan,sants,1
ro,Ro,ar,seurs,1
pli,spli,ex,qué,1
ble,bl°,nia,ment,1
jou,Zu,a,tons,1
dents,d@,re,"",1
re,R°,"",fran,1
flec,flEk,ré,teurs,1
nel,nEl,mi,"",2
mi,mi,hu,di,8
ge,jaZ,plia,"",1
ci,si,clair,rez,1
sants,s@,chis,"",4
coua,kwa,"",quer,1
dé,de,"",far,3
cla,skla,ex,mai,1
ru,Ry,cé,sé,1
ba,ba,cu,tion,1
psy,psi,"",chés,1
ri,Ri,"",ra,1
pe,p°,chap,rons,1
tre,tR°k,en,croi,9
mo,mo,mé,rons,1
gno,NO,fi,le,3
no,no,ag,sie,1
te,t°,cru,rez,1
din,d5,gron,"",1
souf,su,"",fert,1
da,da,ma,"",2
é,e,"",cos,10
fe,f°,touf,rait,1
me,m°,ny,ment,1
bruis,bR8i,"",se,2
chi,Si,blan,ments,1
ve,v°,mal,nus,1
nap,na,"",pa,1
ta,ta,no,riée,1
mi,na,na,que,2
don,d§,par,"",2
é,e,"",douar,1
rau,Ro,ma,deurs,1
de,d°,"",mies,2
saient,zE,gri,"",1
dais,dE,fen,"",2
chauf,So,ré,fants,1
sez,se,nouis,"",1
po,po,po,tin,1
li,bli,sub,mi,2
bou,bu,a,tait,1
de,d°,bro,ries,1
no,no,mi,ri,2
bar,ba,"",ri,14
le,l°,mo,ta,1
sée,se,pul,"",4
til,ti,fré,lait,1
vail,va,tra,lai,1
gis,Zi,sa,"",2
tion,sj§,mi,"",1
rait,RE,de,"",64
lom,lOm,ca,nier,1
lu,ly,"",trins,1
se,s°,bais,rais,2
ver,vER,a,ties,2
dis,di,gran,se,3
chées,Se,bou,"",6
mis,mi,ter,sion,1
nai,Ze,gé,re,2
mets,mE,tre,"",1
glait,glE,jon,"",1
tons,t§,té,"",2
gne,N°,pei,rait,1
chons,S§,mâ,"",1
flue,fly,re,"",1
mail,ma,é,lées,2
quer,ke,bou,"",1
bou,bu,re,chés,1
su,zy,pré,mai,1
test,tEst,coo,"",1
frô,fRo,"",lée,1
ron,Ro,ron,nants,1
se,s°,res,rai,2
res,ZER,gè,"",1
réo,o,té,"",1
cu,ky,ac,lez,1
gourt,guRt,yo,"",1
pla,pla,tem,teur,1
va,va,tra,gant,2
as,a,"",soi,7
bim,b5,"",be,2
meur,m9R,fu,"",2
se,z°,ri,rais,3
bat,ba,re,tu,2
jour,ZuR,a,ne,2
sail,sa,"",lie,2
di,di,é,tées,1
tir,stiR,ex,pés,1
ce,s°,tin,lé,1
cro,kRo,né,phi,1
mar,maR,dé,quer,1
cif,sif,las,"",1
lam,l@,"",pas,1
sai,sE,"",gniez,1
bi,bi,dé,te,3
ce,se,"",lait,1
di,di,our,ra,1
sol,zOl,ré,viez,1
li,li,uti,té,1
re,R°,"",fen,1
lais,lE,bel,"",1
taient,tE,lot,"",2
lo,lo,"",to,1
ra,Ra,pa,ble,4
nées,ne,ri,"",5
cen,s@,con,trons,1
do,do,in,lem,1
cu,ky,ma,lée,2
froi,Rwa,re,di,6
ré,Re,"",jouies,2
bon,bo,a,ner,1
su,sy,mar,pi,2
of,o,"",frit,1
nie,ni,hon,"",2
ri,Ri,vé,ta,1
cal,kal,"",mai,1
sim,s5,"",ple,1
le,l°,mê,rais,1
tac,tak,con,ta,1
sions,sj§,fis,"",1
fir,fiR,in,mer,1
ti,ti,"",son,10
pal,pal,"",pais,1
geât,Za,ron,"",1
tra,tRa,"",queur,1
glez,gle,tran,"",1
crits,kRi,cons,"",2
ci,si,con,lia,10
fi,fi,dé,lé,2
en,@,"",roua,1
bi,bi,"",go,4
gar,gaR,"",dais,1
chon,So,ron,neur,1
tée,te,bot,"",2
cu,ky,flo,la,1
re,R°,no,rons,1
li,li,tra,sant,2
po,po,re,sai,1
che,S°,fau,ra,1
che,S°,cher,ras,1
en,@,"",toi,2
ses,se,pos,sions,1
nit,ni,fi,"",2
gals,gal,ré,"",1
ve,v°,"",lus,1
sais,zE,ru,"",1
eu,2,"",ca,1
frot,fRo,"",teurs,2
cro,kRo,dé,ché,1
le,l°,vo,rai,3
ho,o,"",chaient,1
li,li,fu,gi,1
tri,tRi,lec,sais,1
ques,kEs,sé,trés,1
peur,p9R,tor,"",1
der,de,bar,"",4
cha,Sa,"",toyan,2
ram,R@,ca,bars,1
nieux,N2,mi,"",1
bré,bRe,am,"",2
la,la,"",va,3
si,zi,po,tif,5
neurs,n9R,con,"",1
ra,Ra,"",mions,1
dé,de,"",cli,19
pres,pRe,sup,sion,1
dies,di,tu,"",1
mé,me,"",plat,1
boul,bul,"",gour,1
sup,sy,"",plan,6
no,no,pia,ter,1
mon,m§,"",trées,1
tais,tE,sen,"",7
toirs,twaR,bat,"",2
dis,di,sour,se,1
te,t°,par,nu,1
fés,fe,ri,"",1
ri,Ri,gué,sons,1
sie,zi,sa,"",1
chons,S§,ta,"",4
in,5,"",tox,1
tars,taR,con,"",1
pa,pa,dis,rue,3
lie,li,ci,ra,1
tri,tRi,lec,fiées,1
tants,t@,sul,"",3
bus,by,four,"",1
es,e,"",sayis,2
pâ,pa,"",tît,1
dou,du,rou,dous,1
riée,Rje,ta,"",1
ven,v@,"",dît,1
dra,dRa,fein,"",1
ploie,lwa,dé,ments,1
tour,tuR,dé,nai,1
na,na,ti,tions,3
teurs,t9R,va,"",13
som,s§,"",brons,1
no,no,pia,taient,1
chi,Si,"",mé,1
sions,sj§,cen,"",1
blias,bli,ou,se,1
lai,lE,mi,re,1
cho,SO,cra,te,2
son,s§,bois,"",1
tra,tRa,dé,quaient,1
cen,s@,con,trées,2
rant,R@,car,"",2
sion,zjo,tu,né,2
sers,z9R,loo,"",1
lé,le,niel,"",1
sur,zyR,u,pait,1
rie,Ri,cre,"",1
gne,N°,moi,rait,1
lée,le,to,"",1
ta,ta,cap,"",1
rée,Re,py,"",1
rie,Ri,fu,"",1
lai,lE,sa,son,1
mants,m@,cal,"",2
che,S°,clen,ment,2
trou,tRu,at,per,1
gieux,Zj2,di,"",1
ril,Ri,me,lon,2
fau,fo,"",cheux,1
pli,pli,ap,quant,1
ve,v°,ni,lés,3
pla,pla,"",cet,1
tueux,t82,pec,"",2
re,R°,bo,rons,1
man,m@,pri,da,1
lait,jE,pail,"",1
ar,a,"",rai,5
lon,l§,pro,geaient,1
sies,zi,na,"",1
ro,Ro,é,der,1
raient,RE,che,"",25
tra,tRa,"",ve,2
