ortho,phon,cgram
aborderions,abORd°Rj§,VER
aborderons,abORd°R§,VER
aborderont,abORd°R§,VER
abordes,abORd,VER
abordez,abORde,VER
abordiez,abORdje,VER
abordions,abORdj§,VER
abordons,abORd§,VER
abords,abOR,NOM
abordâmes,abORdam,VER
abordèrent,abORdER,VER
abordé,abORde,VER
abordé,abORde,ADJ
abordée,abORde,VER
abordées,abORde,VER
abordées,abORde,ADJ
abordés,abORde,VER
abordés,abORde,ADJ
aborigène,aboRiZEn,ADJ
aborigène,aboRiZEn,NOM
aborigènes,aboRiZEn,ADJ
aborigènes,aboRiZEn,NOM
abornement,abORn°m@,NOM
abortif,abORtif,ADJ
abortive,abORtiv,ADJ
abortives,abORtiv,ADJ
abouchaient,abuSE,VER
abouchais,abuSE,VER
abouchait,abuSE,VER
abouchant,abuS@,VER
abouchements,abuS°m@,NOM
aboucher,abuSe,VER
abouché,abuSe,VER
abouchée,abuSe,VER
abouchés,abuSe,VER
aboule,abul,VER
abouler,abule,VER
aboules,abul,VER
aboulez,abule,VER
aboulie,abuli,NOM
aboulique,abulik,NOM
abouliques,abulik,ADJ
abounas,abuna,NOM
about,abu,NOM
aboutait,abutE,VER
abouti,abuti,ADJ
abouti,abuti,VER
aboutie,abuti,ADJ
aboutie,abuti,VER
aboutir,abutiR,VER
aboutira,abutiRa,VER
aboutirai,abutiRE,VER
aboutiraient,abutiRE,VER
aboutirais,abutiRE,VER
aboutirait,abutiRE,VER
aboutiras,abutiRa,VER
aboutirent,abutiR,VER
aboutirons,abutiR§,VER
aboutiront,abutiR§,VER
aboutis,abuti,ADJ
aboutis,abuti,VER
aboutissaient,abutisE,VER
aboutissait,abutisE,VER
aboutissant,abutis@,VER
aboutissant,abutis@,NOM
aboutissants,abutis@,NOM
aboutisse,abutis,VER
aboutissement,abutis°m@,NOM
aboutissent,abutis,VER
aboutissez,abutise,VER
aboutissiez,abutisje,VER
aboutissions,abutisj§,VER
aboutit,abuti,VER
aboutonnai,abutonE,VER
aboutons,abut§,VER
aboutîmes,abutim,VER
aboya,abwaja,VER
aboyaient,abwajE,VER
aboyait,abwajE,VER
aboyant,abwaj@,ADJ
aboyant,abwaj@,VER
aboyante,abwaj@t,ADJ
aboyer,abwaje,VER
aboyeur,abwaj9R,ADJ
aboyeur,abwaj9R,NOM
aboyeurs,abwaj9R,ADJ
aboyeurs,abwaj9R,NOM
aboyons,abwaj§,VER
aboyèrent,abwajER,VER
aboyé,abwaje,VER
abracadabra,abRakadabRa,NOM
abracadabrant,abRakadabR@,ADJ
abracadabrante,abRakadabR@t,ADJ
abracadabrantes,abRakadabR@t,ADJ
abracadabrants,abRakadabR@,ADJ
abracadabré,abRakadabRe,VER
abrasif,abRazif,ADJ
abrasif,abRazif,NOM
abrasifs,abRazif,ADJ
abrasifs,abRazif,NOM
abrasion,abRazj§,NOM
abrasive,abRaziv,ADJ
abrasé,abRaze,VER
abraxas,abRaksas,NOM
abreuva,abR9va,VER
abreuvage,abR9vaZ,NOM
abreuvaient,abR9vE,VER
abreuvait,abR9vE,VER
abreuvant,abR9v@,VER
abreuve,abR9v,VER
abreuvent,abR9v,VER
abreuver,abR9ve,VER
abreuvera,abR9v°Ra,VER
abreuveraient,abR9v°RE,VER
abreuvez,abR9ve,VER
abreuvoir,abR9vwaR,NOM
abreuvoirs,abR9vwaR,NOM
abreuvons,abR9v§,VER
abreuvé,abR9ve,VER
abreuvé,abR9ve,ADJ
abreuvée,abR9ve,VER
abreuvés,abR9ve,VER
abreuvés,abR9ve,ADJ
abri,abRi,NOM
abri-refuge,abRiR°fyZ,NOM
abribus,abRibys,NOM
abricot,abRiko,ADJ
abricot,abRiko,NOM
abricotez,abRikote,VER
abricotier,abRikotje,NOM
abricotiers,abRikotje,NOM
abricotine,abRikotin,NOM
abricots,abRiko,NOM
abris,abRi,NOM
abrita,abRita,VER
abritai,abRitE,VER
abritaient,abRitE,VER
abritais,abRitE,VER
abritait,abRitE,VER
abritant,abRit@,ADJ
abritant,abRit@,VER
abrite,abRit,VER
abritent,abRit,VER
abriter,abRite,VER
abritera,abRit°Ra,VER
abriterait,abRit°RE,VER
abriterons,abRit°R§,VER
abriteront,abRit°R§,VER
abrites,abRit,VER
abritez,abRite,VER
abritiez,abRitje,VER
abritions,abRitj§,VER
abritons,abRit§,VER
abritâmes,abRitam,VER
abritèrent,abRitER,VER
abrité,abRite,VER
abrité,abRite,ADJ
abritée,abRite,VER
abritée,abRite,ADJ
abritées,abRite,VER
abrités,abRite,VER
abrités,abRite,ADJ
abrogation,abRogasj§,NOM
abrogent,abROZ,VER
abroger,abRoZe,VER
abrogé,abRoZe,VER
abrogé,abRoZe,ADJ
abrogée,abRoZe,VER
abrogées,abRoZe,VER
abrogés,abRoZe,VER
abrupt,abRypt,ADJ
abrupt,abRypt,NOM
abrupte,abRypt,ADJ
abruptement,abRypt°m@,ADV
abruptes,abRypt,ADJ
abrupts,abRypt,ADJ
abrupts,abRypt,NOM
abruti,abRyti,ADJ
abruti,abRyti,NOM
abruti,abRyti,VER
abrutie,abRyti,ADJ
abrutie,abRyti,NOM
abrutie,abRyti,VER
abruties,abRyti,ADJ
abruties,abRyti,NOM
abruties,abRyti,VER
abrutir,abRytiR,VER
abrutira,abRytiRa,VER
abrutis,abRyti,ADJ
abrutis,abRyti,NOM
abrutis,abRyti,VER
abrutissaient,abRytisE,VER
abrutissais,abRytisE,VER
abrutissait,abRytisE,VER
abrutissant,abRytis@,VER
abrutissant,abRytis@,ADJ
abrutissante,abRytis@t,ADJ
abrutissantes,abRytis@t,ADJ
abrutissants,abRytis@,ADJ
abrutissement,abRytis°m@,NOM
abrutissent,abRytis,VER
abrutisseur,abRytis9R,NOM
abrutissions,abRytisj§,VER
abrutit,abRyti,VER
abrège,abREZ,VER
abrègent,abREZ,VER
abrégea,abReZa,VER
abrégeai,abReZE,VER
abrégeaient,abReZE,VER
abrégeait,abReZE,VER
abrégeant,abReZ@,VER
abrégeons,abReZ§,VER
abréger,abReZe,VER
abrégera,abReZ°Ra,VER
abrégerai,abReZ°RE,VER
abrégerait,abReZ°RE,VER
abrégez,abReZe,VER
abrégeât,abReZa,VER
abrégé,abReZe,VER
abrégé,abReZe,ADJ
abrégé,abReZe,NOM
abrégée,abReZe,VER
abrégée,abReZe,ADJ
abrégés,abReZe,ADJ
abrégés,abReZe,NOM
abréviatif,abRevjatif,ADJ
abréviation,abRevjasj§,NOM
abréviations,abRevjasj§,NOM
abscisse,apsis,NOM
abscission,apsisj§,NOM
abscons,apsk§,ADJ
absconse,apsk§s,ADJ
absconses,apsk§s,ADJ
absence,aps@s,NOM
absences,aps@s,NOM
absent,aps@,ADJ
absent,aps@,NOM
absenta,aps@ta,VER
absentai,aps@tE,VER
absentaient,aps@tE,VER
absentais,aps@tE,VER
absentait,aps@tE,VER
absentant,aps@t@,VER
absente,aps@t,ADJ
absente,aps@t,NOM
absente,aps@t,VER
absenter,aps@te,VER
absentera,aps@t°Ra,VER
absenterai,aps@t°RE,VER
absenterait,aps@t°RE,VER
absentes,aps@t,ADJ
absentes,aps@t,NOM
absentes,aps@t,VER
absents,aps@,ADJ
absents,aps@,NOM
absentèrent,aps@tER,VER
absenté,aps@te,VER
absentée,aps@te,VER
absentéisme,aps@teizm,NOM
absentéiste,aps@teist,ADJ
absentéiste,aps@teist,NOM
absentés,aps@te,VER
abside,apsid,NOM
absides,apsid,NOM
absidiales,apsidjal,ADJ
absidiole,apsidjOl,NOM
absinthant,aps5t@,VER
absinthe,aps5t,NOM
absolu,apsoly,ADJ
absolu,apsoly,NOM
absolue,apsoly,ADJ
absolues,apsoly,ADJ
absolument,apsolym@,ADV
absolus,apsoly,ADJ
absolus,apsoly,NOM
absolution,apsolysj§,NOM
absolutisme,apsolytizm,NOM
absolvaient,apsOlvE,VER
absolvait,apsOlvE,VER
absolvant,apsOlv@,ADJ
absolve,apsOlv,VER
absolvent,apsOlv,VER
absolves,apsOlv,VER
absorba,apsORba,VER
absorbables,apsORbabl,ADJ
absorbai,apsORbE,VER
absorbaient,apsORbE,VER
absorbais,apsORbE,VER
absorbait,apsORbE,VER
absorbant,apsORb@,ADJ
absorbant,apsORb@,NOM
absorbant,apsORb@,VER
absorbante,apsORb@t,ADJ
absorbantes,apsORb@t,ADJ
absorbants,apsORb@,ADJ
absorbe,apsORb,VER
absorbent,apsORb,VER
absorber,apsORbe,VER
absorbera,apsORb°Ra,VER
absorberai,apsORb°RE,VER
absorberaient,apsORb°RE,VER
absorberait,apsORb°RE,VER
absorbeur,apsORb9R,NOM
absorbez,apsORbe,VER
absorbions,apsORbj§,VER
absorbons,apsORb§,VER
absorbèrent,apsORbER,VER
absorbé,apsORbe,VER
absorbé,apsORbe,ADJ
absorbée,apsORbe,VER
absorbée,apsORbe,ADJ
absorbées,apsORbe,VER
absorbées,apsORbe,ADJ
absorbés,apsORbe,VER
absorbés,apsORbe,ADJ
absorption,apsORpsj§,NOM
absorptions,apsORpsj§,NOM
absoudrai,apsudRE,VER
absoudrait,apsudRE,VER
absoudre,apsudR,VER
absoudriez,apsudRije,VER
absous,apsu,VER
absous,apsu,ADJ
absout,apsu,VER
absoute,apsut,VER
absoute,apsut,ADJ
absoute,apsut,NOM
absoutes,apsut,VER
abstenaient,apst°nE,VER
abstenais,apst°nE,VER
abstenait,apst°nE,VER
abstenant,apst°n@,VER
abstenez,apst°ne,VER
absteniez,apst°nje,VER
abstenions,apst°nj§,VER
abstenir,apst°niR,VER
abstenons,apst°n§,VER
abstention,apst@sj§,NOM
abstentionniste,apst@sjonist,NOM
abstentionnistes,apst@sjonist,NOM
abstenu,apst°ny,VER
abstenue,apst°ny,VER
abstenue,apst°ny,ADJ
abstenues,apst°ny,VER
abstenus,apst°ny,VER
abstiendrai,apstj5dRE,VER
abstiendraient,apstj5dRE,VER
abstiendrais,apstj5dRE,VER
abstiendrait,apstj5dRE,VER
abstiendras,apstj5dRa,VER
abstiendrions,apstj5dRj§,VER
abstiendrons,apstj5dR§,VER
abstiendront,apstj5dR§,VER
abstienne,apstjEn,VER
abstiennent,apstjEn,VER
abstiennes,apstjEn,VER
abstiens,apstj5,VER
abstient,apstj5,VER
abstinence,apstin@s,NOM
abstinences,apstin@s,NOM
abstinent,apstin@,ADJ
abstinente,apstin@t,ADJ
abstinrent,apst5R,VER
abstins,apst5,VER
abstint,apst5,VER
abstraction,apstRaksj§,NOM
abstractions,apstRaksj§,NOM
abstraire,apstRER,VER
abstrais,apstRE,VER
abstrait,apstRE,VER
abstrait,apstRE,ADJ
abstrait,apstRE,NOM
abstraite,apstREt,VER
abstraite,apstREt,ADJ
abstraitement,apstREt°m@,ADV
abstraites,apstREt,VER
abstraites,apstREt,ADJ
abstraits,apstRE,VER
abstraits,apstRE,ADJ
abstraits,apstRE,NOM
abstrus,apstRy,ADJ
abstruse,apstRyz,ADJ
abstruses,apstRyz,ADJ
abstînt,apst5,VER
absurde,apsyRd,ADJ
absurde,apsyRd,NOM
absurdement,apsyRd°m@,ADV
absurdes,apsyRd,ADJ
absurdes,apsyRd,NOM
absurdistes,apsyRdist,NOM
absurdité,apsyRdite,NOM
absurdités,apsyRdite,NOM
abus,aby,NOM
abusa,abyza,VER
abusai,abyzE,VER
abusaient,abyzE,VER
abusais,abyzE,VER
abusait,abyzE,VER
abusant,abyz@,VER
abuse,abyz,VER
abusent,abyz,VER
abuser,abyze,VER
abusera,abyz°Ra,VER
abuserai,abyz°RE,VER
abuserais,abyz°RE,VER
abuserait,abyz°RE,VER
abuserez,abyz°Re,VER
abuseriez,abyz°Rje,VER
abuses,abyz,VER
abuseur,abyz9R,NOM
abusez,abyze,VER
abusiez,abyzje,VER
abusif,abyzif,ADJ
abusifs,abyzif,ADJ
abusive,abyziv,ADJ
abusivement,abyziv°m@,ADV
abusives,abyziv,ADJ
abusons,abyz§,VER
abusèrent,abyzER,VER
abusé,abyze,VER
abusé,abyze,ADJ
abusée,abyze,VER
abusée,abyze,ADJ
abusées,abyze,VER
abusées,abyze,ADJ
abusés,abyze,VER
abusés,abyze,ADJ
abyme,abim,NOM
abyssal,abisal,ADJ
abyssale,abisal,ADJ
abyssales,abisal,ADJ
abysse,abis,NOM
abysses,abis,NOM
abyssin,abis5,ADJ
abyssin,abis5,NOM
abyssinien,abisinj5,ADJ
abyssinienne,abisinjEn,NOM
abyssins,abis5,ADJ
abâtardi,abataRdi,VER
abâtardie,abataRdi,ADJ
abâtardies,abataRdi,VER
abâtardir,abataRdiR,VER
abâtardirai,abataRdiRE,VER
abâtardissant,abataRdis@,VER
abécédaire,abesedER,NOM
abêti,abeti,ADJ
abêti,abeti,VER
abêties,abeti,ADJ
abêtir,abetiR,VER
abêtis,abeti,ADJ
abêtis,abeti,VER
abêtissait,abetisE,VER
abêtissement,abetis°m@,NOM
abêtit,abeti,VER
abîma,abima,VER
abîmai,abimE,VER
abîmaient,abimE,VER
abîmait,abimE,VER
abîmant,abim@,VER
abîme,abim,NOM
abîme,abim,VER
abîment,abim,VER
abîmer,abime,VER
abîmera,abim°Ra,VER
abîmerai,abim°RE,VER
abîmerais,abim°RE,VER
abîmerait,abim°RE,VER
abîmeras,abim°Ra,VER
abîmerez,abim°Re,VER
abîmeront,abim°R§,VER
abîmes,abim,NOM
abîmes,abim,VER
abîmez,abime,VER
abîmions,abimj§,VER
abîmons,abim§,VER
abîmé,abime,VER
abîmée,abime,VER
abîmées,abime,VER
abîmés,abime,VER
acabit,akabi,NOM
acabits,akabi,NOM
acacia,akasja,NOM
acacias,akasja,NOM
acadien,akadj5,ADJ
acadien,akadj5,NOM
acadienne,akadjEn,NOM
acadiens,akadj5,NOM
académicien,akademisj5,NOM
académiciens,akademisj5,NOM
académie,akademi,NOM
académies,akademi,NOM
académique,akademik,ADJ
académiquement,akademik°m@,ADV
académiques,akademik,ADJ
académisme,akademizm,NOM
académisé,akademize,VER
acagnardai,akaNaRdE,VER
acagnardait,akaNaRdE,VER
acagnarder,akaNaRde,VER
acagnardé,akaNaRde,VER
acagnardée,akaNaRde,VER
acajou,akaZu,ADJ
acajou,akaZu,NOM
acajous,akaZu,NOM
acanthe,ak@t,NOM
acanthes,ak@t,NOM
acariens,akaRj5,NOM
acariâtre,akaRjatR,ADJ
acariâtres,akaRjatR,ADJ
accabla,akabla,VER
accablai,akablE,VER
accablaient,akablE,VER
accablais,akablE,VER
accablait,akablE,VER
accablant,akabl@,ADJ
accablant,akabl@,VER
accablante,akabl@t,ADJ
accablantes,akabl@t,ADJ
accablants,akabl@,ADJ
accable,akabl,VER
accablement,akabl°m@,NOM
accablements,akabl°m@,NOM
accablent,akabl,VER
accabler,akable,VER
accableraient,akabl°RE,VER
accablez,akable,VER
accablions,akablij§,VER
accablât,akabla,VER
accablèrent,akablER,VER
accablé,akable,VER
accablé,akable,ADJ
accablée,akable,VER
accablée,akable,ADJ
accablées,akable,VER
accablées,akable,ADJ
accablés,akable,VER
accablés,akable,ADJ
accalmie,akalmi,NOM
accalmies,akalmi,NOM
accalmit,akalmi,VER
accapara,akapaRa,VER
accaparaient,akapaRE,VER
accaparait,akapaRE,VER
accaparant,akapaR@,ADJ
accaparant,akapaR@,VER
accaparante,akapaR@t,ADJ
accapare,akapaR,VER
accaparer,akapaRe,VER
accaparerait,akapaR°RE,VER
accapareur,akapaR9R,ADJ
accaparez,akapaRe,VER
accaparé,akapaRe,VER
accaparée,akapaRe,VER
accaparées,akapaRe,VER
accaparés,akapaRe,VER
accastillage,akastijaZ,NOM
accastillages,akastijaZ,NOM
accelerando,akseleRando,ADV
accent,aks@,NOM
accenteur,aks@t9R,NOM
accents,aks@,NOM
accentua,aks@t8a,VER
accentuai,aks@t8E,VER
accentuaient,aks@t8E,VER
accentuais,aks@t8E,VER
accentuait,aks@t8E,VER
accentuant,aks@t8@,VER
accentuation,aks@t8asj§,NOM
accentue,aks@ty,VER
accentuent,aks@ty,VER
accentuer,aks@t8e,VER
accentuerait,aks@tyRE,VER
accentuez,aks@tye,VER
accentuât,aks@t8a,VER
accentuèrent,aks@t8ER,VER
accentué,aks@t8e,VER
accentué,aks@t8e,ADJ
accentuée,aks@t8e,VER
accentuée,aks@t8e,ADJ
accentuées,aks@t8e,VER
accentuées,aks@t8e,ADJ
accentués,aks@t8e,VER
accentués,aks@t8e,ADJ
accepta,aksEpta,VER
acceptable,aksEptabl,ADJ
acceptables,aksEptabl,ADJ
acceptai,aksEptE,VER
acceptaient,aksEptE,VER
acceptais,aksEptE,VER
acceptait,aksEptE,VER
acceptant,aksEpt@,NOM
acceptant,aksEpt@,VER
acceptassent,aksEptas,VER
acceptasses,aksEptas,VER
acceptation,aksEptasj§,NOM
acceptations,aksEptasj§,NOM
accepte,aksEpt,VER
acceptent,aksEpt,VER
accepter,aksEpte,VER
acceptera,aksEpt°Ra,VER
accepterai,aksEpt°RE,VER
accepteraient,aksEpt°RE,VER
accepterais,aksEpt°RE,VER
accepterait,aksEpt°RE,VER
accepteras,aksEpt°Ra,VER
accepterez,aksEpt°Re,VER
accepteriez,aksEpt°Rje,VER
accepterions,aksEpt°Rj§,VER
accepterons,aksEpt°R§,VER
accepteront,aksEpt°R§,VER
acceptes,aksEpt,VER
acceptez,aksEpte,VER
acceptiez,aksEptje,VER
acception,aksEpsj§,NOM
acceptions,aksEpsj§,NOM
acceptions,aksEptj§,VER
acceptons,aksEpt§,VER
acceptâmes,aksEptam,VER
acceptât,aksEpta,VER
acceptèrent,aksEptER,VER
accepté,aksEpte,VER
acceptée,aksEpte,VER
acceptées,aksEpte,VER
acceptés,aksEpte,VER
accesseurs,aksEs9R,NOM
accessibilité,aksEsibilite,NOM
accessible,aksesibl,ADJ
accessibles,aksesibl,ADJ
accession,aksEsj§,NOM
accessit,aksesit,NOM
accessoire,akseswaR,ADJ
accessoire,akseswaR,NOM
accessoirement,akseswaR°m@,ADV
accessoires,akseswaR,ADJ
accessoires,akseswaR,NOM
accessoirise,aksEswaRiz,VER
accessoiriser,aksEswaRize,VER
accessoiriste,akseswaRist,NOM
accessoiristes,akseswaRist,NOM
accident,aksid@,NOM
accidente,aksid@t,VER
accidentel,aksid@tEl,ADJ
accidentelle,aksid@tEl,ADJ
accidentellement,aksid@tEl°m@,ADV
accidentelles,aksid@tEl,ADJ
accidentels,aksid@tEl,ADJ
accidenter,aksid@te,VER
accidents,aksid@,NOM
accidenté,aksid@te,VER
accidenté,aksid@te,ADJ
accidenté,aksid@te,NOM
accidentée,aksid@te,VER
